model,seed,scene,occluder,cut,cond,round,d,h,pitch,yaw,hfov,edge_projected,hbin,dbin,dbin3a,n_gt,ncell_3a,ncell_3b,d_3a,d_3b,on_3a,off_3a,on_3b,off_3b,rec_3a,rec_3b,delta_all
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260819__0000.png,L0,260819_main_on,9.9031,0.4233,-6.6317,-4.2143,61.8616,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,0.04119700000000004,nan,nan,0.667933,0.626736,nan,1.0,0.04119700000000004
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0000.png::boost_e,L0,260820_boost_e_on,10.9914,0.3911,-13.637,-17.7914,62.7559,14,h_lo (robot ~0.3),d>=9,d>=6.8,2,0,2,nan,0.025433999999999957,nan,nan,0.607134,0.5817,nan,1.0,0.025433999999999957
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0000.png::boost_h,L0,260820_boost_h_on,10.9914,0.3614,-13.637,-17.7914,62.7559,14,h_lo (robot ~0.3),d>=9,d>=6.8,2,0,2,nan,0.019212000000000007,nan,nan,0.640006,0.620794,nan,1.0,0.019212000000000007
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0001.png::boost_h,L0,260820_boost_h_on,9.9013,0.8097,-6.8068,-11.8299,63.9125,14,h_mid (~0.9),d>=9,d>=6.8,1,0,1,nan,0.05144399999999999,nan,nan,0.50447,0.453026,nan,1.0,0.05144399999999999
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0003.png::boost_e,L0,260820_boost_e_on,7.5147,0.4734,-11.0902,-4.9586,63.1815,14,h_lo (robot ~0.3),d 7-9,d>=6.8,4,2,2,0.053949000000000025,0.021240999999999954,0.428321,0.374372,0.823965,0.802724,0.0,1.0,0.021240999999999954
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0003.png::boost_h,L0,260820_boost_h_on,7.5147,0.4263,-11.0902,-4.9586,63.1815,14,h_lo (robot ~0.3),d 7-9,d>=6.8,4,2,2,0.054957000000000034,0.026687999999999934,0.360412,0.305455,0.808286,0.781598,0.0,1.0,0.026687999999999934
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0004.png::boost_e,L0,260820_boost_e_on,9.9583,0.8223,-12.6937,-3.4861,58.1207,14,h_mid (~0.9),d>=9,d>=6.8,2,0,2,nan,0.04641400000000001,nan,nan,0.392169,0.345755,nan,0.0,0.04641400000000001
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0004.png::boost_h,L0,260820_boost_h_on,9.9583,0.7018,-12.6937,-3.4861,58.1207,14,h_mid (~0.9),d>=9,d>=6.8,2,0,2,nan,0.01960299999999998,nan,nan,0.305919,0.286316,nan,0.0,0.01960299999999998
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0005.png::boost_e,L0,260820_boost_e_on,9.8366,0.3501,-5.4058,-7.3396,62.3314,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,-0.047205,nan,nan,0.398225,0.44543,nan,0.0,-0.047205
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0005.png::boost_h,L0,260820_boost_h_on,9.8366,0.329,-5.4058,-7.3396,62.3314,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,0.035138999999999976,nan,nan,0.311235,0.276096,nan,0.0,0.035138999999999976
