old	new	wave	kind	size_bytes	reason
look_check/sceneN5/260806_w3_allview5	look_check/_archive/w3fix/sceneN5/260806_w3_allview5	w3fix	round	16375097	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/_review/260731_w3_full	look_check/_review/w3/260731_w3_full	w3	review	4780413	review gallery grouped by wave
look_check/_review/260805_w3_doctrine	look_check/_review/w3/260805_w3_doctrine	w3	review	831618	review gallery grouped by wave
look_check/_review/260805_w3_hedgeswap	look_check/_review/w3/260805_w3_hedgeswap	w3	review	1162559	review gallery grouped by wave
look_check/_review/260805_w3_s13fix	look_check/_review/w3/260805_w3_s13fix	w3	review	158305	review gallery grouped by wave
look_check/_review/260805_w3_s13fix2	look_check/_review/w3/260805_w3_s13fix2	w3	review	152932	review gallery grouped by wave
look_check/_review/260805_w3_s13fix3	look_check/_review/w3/260805_w3_s13fix3	w3	review	142687	review gallery grouped by wave
look_check/_review/260805_w3_s13fix4	look_check/_review/w3/260805_w3_s13fix4	w3	review	139591	review gallery grouped by wave
look_check/_review/260805_w3_s13fix5	look_check/_review/w3/260805_w3_s13fix5	w3	review	136505	review gallery grouped by wave
look_check/_review/260806_w3_allview4	look_check/_review/w3/260806_w3_allview4	w3	review	350529245	review gallery grouped by wave
look_check/_review/260806_w3_allview5	look_check/_review/w3/260806_w3_allview5	w3	review	350990818	review gallery grouped by wave
look_check/_review/260806_w3_fixqueue	look_check/_review/w3/260806_w3_fixqueue	w3	review	993903	review gallery grouped by wave
look_check/_review/260806_w3_fixqueue2	look_check/_review/w3/260806_w3_fixqueue2	w3	review	2210586	review gallery grouped by wave
look_check/_review/260806_w3_s13fix6	look_check/_review/w3/260806_w3_s13fix6	w3	review	130647	review gallery grouped by wave
look_check/_review/260806_w3_s13fix7	look_check/_review/w3/260806_w3_s13fix7	w3	review	127354	review gallery grouped by wave
look_check/_review/260807_w3_fixqueue3	look_check/_review/w3/260807_w3_fixqueue3	w3	review	640512	review gallery grouped by wave
look_check/_review/260810_w3_s06collar	look_check/_review/w3/260810_w3_s06collar	w3	review	120809	review gallery grouped by wave
look_check/_review/260810_w3_s06direct	look_check/_review/w3/260810_w3_s06direct	w3	review	125348	review gallery grouped by wave
look_check/_review/260810_w3_s06endstair	look_check/_review/w3/260810_w3_s06endstair	w3	review	116660	review gallery grouped by wave
look_check/_review/260811_w3_s06bay14	look_check/_review/w3/260811_w3_s06bay14	w3	review	118424	review gallery grouped by wave
look_check/_review/260811_w3_s06glass	look_check/_review/w3/260811_w3_s06glass	w3	review	114632	review gallery grouped by wave
look_check/_review/260811_w3_s06sweep	look_check/_review/w3/260811_w3_s06sweep	w3	review	115069	review gallery grouped by wave
look_check/_review/260811_w3_s06trim	look_check/_review/w3/260811_w3_s06trim	w3	review	120386	review gallery grouped by wave
look_check/_review/260811_w3_s06weld	look_check/_review/w3/260811_w3_s06weld	w3	review	120521	review gallery grouped by wave
look_check/_review/260811_w3_s06wide	look_check/_review/w3/260811_w3_s06wide	w3	review	120740	review gallery grouped by wave
look_check/_review/260811_w3_s11clean	look_check/_review/w3/260811_w3_s11clean	w3	review	209610	review gallery grouped by wave
look_check/_review/260811_w3_s11flip	look_check/_review/w3/260811_w3_s11flip	w3	review	201734	review gallery grouped by wave
look_check/_review/260811_w3_s11piers	look_check/_review/w3/260811_w3_s11piers	w3	review	201081	review gallery grouped by wave
look_check/_review/260811_w3_s11ribbon	look_check/_review/w3/260811_w3_s11ribbon	w3	review	201121	review gallery grouped by wave
look_check/_review/260811_w3_s13frost_a	look_check/_review/w3/260811_w3_s13frost_a	w3	review	127175	review gallery grouped by wave
look_check/_review/260811_w3_s13frost_b	look_check/_review/w3/260811_w3_s13frost_b	w3	review	128079	review gallery grouped by wave
look_check/_review/260811_w3_s13frost_c	look_check/_review/w3/260811_w3_s13frost_c	w3	review	118218	review gallery grouped by wave
look_check/_review/260811_w3_s13frost_d	look_check/_review/w3/260811_w3_s13frost_d	w3	review	119321	review gallery grouped by wave
look_check/_review/260811_w3_s13frost_e	look_check/_review/w3/260811_w3_s13frost_e	w3	review	117108	review gallery grouped by wave
look_check/_review/260811_w3_s16road6	look_check/_review/w3/260811_w3_s16road6	w3	review	158023	review gallery grouped by wave
look_check/_review/260811_w3_s16under	look_check/_review/w3/260811_w3_s16under	w3	review	154399	review gallery grouped by wave
look_check/_review/260813_w4_n3wall	look_check/_review/w4/260813_w4_n3wall	w4	review	187976	review gallery grouped by wave
look_check/_review/260813_w4_s01k5	look_check/_review/w4/260813_w4_s01k5	w4	review	141615	review gallery grouped by wave
look_check/_review/260813_w4_s11tone	look_check/_review/w4/260813_w4_s11tone	w4	review	201735	review gallery grouped by wave
look_check/_review/260813_w4_s13tone	look_check/_review/w4/260813_w4_s13tone	w4	review	124135	review gallery grouped by wave
look_check/_review/260813_w4_s15villa	look_check/_review/w4/260813_w4_s15villa	w4	review	146063	review gallery grouped by wave
look_check/_review/260813_w4_s16tone	look_check/_review/w4/260813_w4_s16tone	w4	review	152544	review gallery grouped by wave
look_check/_review/260813_w4_s21civic	look_check/_review/w4/260813_w4_s21civic	w4	review	120681	review gallery grouped by wave
look_check/_review/260814_w4_r1r2pilot	look_check/_review/w4/260814_w4_r1r2pilot	w4	review	594592	review gallery grouped by wave
look_check/_review/260815_w4_hzbatch	look_check/_review/w4/260815_w4_hzbatch	w4	review	1971260	review gallery grouped by wave
look_check/_review/260815_w4_r4batch	look_check/_review/w4/260815_w4_r4batch	w4	review	2365149	review gallery grouped by wave
look_check/_review/260816_w4_final33	look_check/_review/w4/260816_w4_final33	w4	review	4867989	review gallery grouped by wave
look_check/_review/260817_w4_regfix	look_check/_review/w4/260817_w4_regfix	w4	review	773988	review gallery grouped by wave
look_check/_review_w2	look_check/_review/w2	w2	review_w2	4689896	_review_w2/ folded into _review/w2/
look_check/finalize_v3.log	look_check/logs/finalize_v3.log	-	log	667503	render journal moved out of the look_check root
look_check/partial_r4.log	look_check/logs/partial_r4.log	-	log	222659	render journal moved out of the look_check root
look_check/scene19_r5.log	look_check/logs/scene19_r5.log	-	log	37053	render journal moved out of the look_check root
look_check/spike_results.json	look_check/logs/spike_results.json	-	log	9776	render journal moved out of the look_check root
look_check/v5_keep_pt.log	look_check/logs/v5_keep_pt.log	-	log	592189	render journal moved out of the look_check root
look_check/v5_keep_rt.log	look_check/logs/v5_keep_rt.log	-	log	866849	render journal moved out of the look_check root
look_check/v6_all_rt.log	look_check/logs/v6_all_rt.log	-	log	1097824	render journal moved out of the look_check root
look_check/v7_all_rt.log	look_check/logs/v7_all_rt.log	-	log	1117473	render journal moved out of the look_check root
look_check/v7_pt13.log	look_check/logs/v7_pt13.log	-	log	512142	render journal moved out of the look_check root
look_check/v8_fix8_rt.log	look_check/logs/v8_fix8_rt.log	-	log	448652	render journal moved out of the look_check root
look_check/v8_pt7.log	look_check/logs/v8_pt7.log	-	log	276078	render journal moved out of the look_check root
look_check/v8_rt2_scene09.log	look_check/logs/v8_rt2_scene09.log	-	log	39530	render journal moved out of the look_check root
