scene,arm,frame_id,cond,round,d,h_rel,pitch,yaw,finite_frac,inf_frac,p05,p25,p50,p75,p95,max_finite,min_finite,sat_frac,mean_norm,std_norm,frac_band1,frac_band2,frac_band3a,frac_band3b,vgrad_mean,vgrad_p99,hgrad_mean
scene15,on,on/scene15/L0__s20260820__0007.png::boost_e,L0,260820_boost_e_on,8.3783,0.9407,-9.4753,-12.4083,0.999579475308642,0.0004205246913580247,1.599609375,1.9658203125,2.49609375,3.8125,8.4140625,34.875,1.314453125,0.040731577932098764,0.34433674812316895,0.226542666554451,0.2711911651234568,0.5517443094135802,0.08988184799382716,0.05169849537037037,0.039673157036304474,0.43830108642578125,0.049673691391944885
scene15,off,off/scene15/L0__s20260819__0000.png,L0,260819_main_off,9.9031,0.4233,-6.6317,-4.2143,0.9971098572530864,0.00289014274691358,1.0087890625,1.4765625,1.955078125,3.15234375,9.734375,40.96875,0.80078125,0.03662856867283951,0.29228222370147705,0.24463491141796112,0.5154648919753086,0.3485450424382716,0.04770929783950617,0.05861593364197531,0.03410881385207176,0.4375,0.03743970766663551
scene15,off,off/scene15/L0__s20260819__0001.png,L0,260819_main_off,1.858,0.4837,-7.5218,-9.2458,0.9978804976851852,0.002119502314814815,1.12109375,1.470703125,1.7802734375,2.306640625,8.890625,32.09375,1.0244140625,0.0510913387345679,0.2477182298898697,0.20433935523033142,0.6742452739197531,0.2400655864197531,0.03267650462962963,0.0030420524691358026,0.02413436397910118,0.3046875,0.03367949649691582
scene15,off,off/scene15/L0__s20260819__0002.png,L0,260819_main_off,4.6673,0.5252,-8.4908,3.1991,0.9978771219135802,0.002122878086419753,1.11328125,1.431640625,1.8818359375,2.978515625,6.76171875,35.40625,1.00390625,0.034314718364197534,0.26226088404655457,0.19494782388210297,0.5432339891975309,0.38006221064814816,0.03419994212962963,0.00941261574074074,0.02344360388815403,0.3046875,0.03433296084403992
scene15,off,off/scene15/L0__s20260819__0003.png,L0,260819_main_off,1.3693,0.9901,-13.9162,-3.4361,1.0,0.0,1.33203125,1.4541015625,1.7607421875,2.583984375,6.890625,26.875,1.255859375,0.04278935185185185,0.24993449449539185,0.194648876786232,0.6042119984567901,0.3146952160493827,0.034519675925925926,0.006102430555555555,0.019700266420841217,0.23828125,0.035454653203487396
scene15,off,off/scene15/L0__s20260819__0004.png,L0,260819_main_off,5.5065,0.7528,-11.0394,5.5473,0.9993021797839506,0.0006978202160493827,1.4267578125,1.7099609375,2.166015625,3.30078125,6.95703125,35.6875,1.291015625,0.03199315200617284,0.29210129380226135,0.19228629767894745,0.42650270061728396,0.4324131944444444,0.10022038966049383,0.012485050154320988,0.024624405428767204,0.2890625,0.03479882702231407
scene15,off,off/scene15/L0__s20260819__0005.png,L0,260819_main_off,3.0224,0.9833,-12.9205,6.4099,0.9999633487654321,3.6651234567901234e-05,1.5224609375,1.8408203125,2.314453125,3.01953125,7.0234375,29.890625,1.380859375,0.036124614197530866,0.2859533727169037,0.17890432476997375,0.3537987075617284,0.5622347608024691,0.04326967592592593,0.006662808641975309,0.01985090970993042,0.26171875,0.035846125334501266
scene15,off,off/scene15/L0__s20260819__0006.png,L0,260819_main_off,2.2421,0.9553,-9.1914,-18.2162,0.9991960841049383,0.0008039158950617284,1.1044921875,1.5224609375,2.29296875,2.970703125,14.109375,30.4375,1.0234375,0.05929591049382716,0.2861420214176178,0.21776829659938812,0.3807783564814815,0.5096055169753086,0.04603153935185185,0.006744309413580247,0.020815690979361534,0.26171875,0.04053870961070061
scene15,off,off/scene15/L0__s20260819__0007.png,L0,260819_main_off,5.1525,0.8177,-15.2404,1.5985,1.0,0.0,1.400390625,1.6474609375,2.048828125,2.99609375,5.77734375,30.328125,1.2958984375,0.02066358024691358,0.2685515880584717,0.17059053480625153,0.47715711805555555,0.4344579475308642,0.058814621913580244,0.011156925154320988,0.020792583003640175,0.2421875,0.028280753642320633
scene15,off,off/scene15/L0__s20260820__0000.png::boost_h,L0,260820_boost_h_off,10.9914,0.3614,-13.637,-17.7914,1.0,0.0,0.6748046875,0.89794921875,1.1875,1.93359375,6.71484375,33.84375,0.6220703125,0.02443190586419753,0.19473391771316528,0.2005499303340912,0.7599961419753086,0.16461757330246912,0.03613570601851852,0.02464940200617284,0.027168449014425278,0.4140625,0.01803816668689251
scene15,off,off/scene15/L0__s20260820__0001.png::boost_h,L0,260820_boost_h_off,9.9013,0.8097,-6.8068,-11.8299,0.9950761959876543,0.004923804012345679,1.1494140625,1.697265625,2.380859375,3.697265625,9.6953125,40.125,1.0615234375,0.041171875,0.33307376503944397,0.25278133153915405,0.37503520447530864,0.45527729552469137,0.06249807098765432,0.07435088734567902,0.03950778394937515,0.4921875,0.049575839191675186
scene15,off,off/scene15/L0__s20260820__0002.png::boost_h,L0,260820_boost_h_off,6.6026,0.6748,-8.6096,-4.0107,0.9972492283950617,0.0027507716049382717,1.3134765625,1.6259765625,2.1328125,3.328125,7.203125,37.125,1.1796875,0.03520640432098766,0.29810142517089844,0.20946432650089264,0.44341917438271605,0.40556471836419755,0.10477189429012346,0.016374903549382716,0.025289081037044525,0.30859375,0.036835670471191406
scene15,off,off/scene15/L0__s20260820__0003.png::boost_h,L0,260820_boost_h_off,7.5147,0.4263,-11.0902,-4.9586,0.999975887345679,2.4112654320987653e-05,0.8603515625,1.1826171875,1.71484375,2.673828125,7.29296875,36.46875,0.7841796875,0.025341917438271605,0.24305006861686707,0.20227520167827606,0.607293113425926,0.2914776234567901,0.06682195216049383,0.013491512345679012,0.026846570894122124,0.3671875,0.02694106288254261
scene15,off,off/scene15/L0__s20260820__0004.png::boost_h,L0,260820_boost_h_off,9.9583,0.7018,-12.6937,-3.4861,1.0,0.0,1.0185546875,1.4404296875,1.9951171875,3.197265625,8.8984375,34.96875,0.9208984375,0.025278742283950616,0.2796502411365509,0.21521559357643127,0.5013609182098765,0.38026957947530865,0.06072289737654321,0.0380420524691358,0.02481640875339508,0.3046875,0.028285883367061615
